GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
coverage/bigquery-connector,com.google.cloud.hadoop.io.bigquery.output,FederatedBigQueryOutputCommitter,1,50,1,1,0,16,1,3,0,3
coverage/bigquery-connector,com.google.cloud.hadoop.io.bigquery.output,BigQueryTableSchema,7,74,2,4,2,19,3,7,1,6
coverage/bigquery-connector,com.google.cloud.hadoop.io.bigquery.output,BigQueryOutputConfiguration,39,368,9,27,6,110,9,30,0,21
coverage/bigquery-connector,com.google.cloud.hadoop.io.bigquery.output,IndirectBigQueryOutputFormat,0,20,0,0,0,5,0,2,0,2
coverage/bigquery-connector,com.google.cloud.hadoop.io.bigquery.output,BigQueryTimePartitioning,35,61,2,0,9,19,7,10,6,10
coverage/bigquery-connector,com.google.cloud.hadoop.io.bigquery.output,ForwardingBigQueryFileOutputFormat,7,121,1,7,2,30,1,11,0,8
coverage/bigquery-connector,com.google.cloud.hadoop.io.bigquery.output,BigQueryTableHelper,3,36,0,0,1,8,1,4,1,4
coverage/bigquery-connector,com.google.cloud.hadoop.io.bigquery.output,IndirectBigQueryOutputCommitter,2,85,2,2,0,26,2,3,0,3
coverage/bigquery-connector,com.google.cloud.hadoop.io.bigquery.output,BigQueryTableFieldSchema,61,38,2,0,16,10,10,5,9,5
coverage/bigquery-connector,com.google.cloud.hadoop.io.bigquery.output,FederatedBigQueryOutputFormat,0,20,0,0,0,5,0,2,0,2
coverage/bigquery-connector,com.google.cloud.hadoop.io.bigquery.output,ForwardingBigQueryFileOutputCommitter,20,156,5,7,4,43,5,15,0,14
coverage/bigquery-connector,com.google.cloud.hadoop.io.bigquery.output,BigQueryOutputConfiguration.JobConfigurationAdapter,0,9,0,0,0,4,0,2,0,2
coverage/bigquery-connector,com.google.cloud.hadoop.io.bigquery,DirectBigQueryRecordReader.AvroRecordIterator,14,34,0,2,4,6,0,4,0,3
coverage/bigquery-connector,com.google.cloud.hadoop.io.bigquery,GsonBigQueryInputFormat,0,17,0,0,0,5,0,4,0,4
coverage/bigquery-connector,com.google.cloud.hadoop.io.bigquery,BigQueryHelper,100,455,20,20,19,104,21,14,3,12
coverage/bigquery-connector,com.google.cloud.hadoop.io.bigquery,BigQueryFactory,16,102,2,2,3,27,2,6,0,6
coverage/bigquery-connector,com.google.cloud.hadoop.io.bigquery,ShardedInputSplit,0,60,0,0,0,16,0,8,0,8
coverage/bigquery-connector,com.google.cloud.hadoop.io.bigquery,BigQueryFileFormat,3,121,0,4,1,20,1,6,1,4
coverage/bigquery-connector,com.google.cloud.hadoop.io.bigquery,UnshardedExportToCloudStorage,1,115,1,5,0,25,1,7,0,5
coverage/bigquery-connector,com.google.cloud.hadoop.io.bigquery,AbstractBigQueryInputFormat,113,206,1,3,33,55,9,10,8,9
coverage/bigquery-connector,com.google.cloud.hadoop.io.bigquery,GsonRecordReader,19,94,1,3,5,23,1,9,0,8
coverage/bigquery-connector,com.google.cloud.hadoop.io.bigquery,DynamicFileListRecordReader,48,538,5,51,8,125,4,40,0,16
coverage/bigquery-connector,com.google.cloud.hadoop.io.bigquery,BigQueryUtils,18,253,1,19,3,67,1,13,0,4
coverage/bigquery-connector,com.google.cloud.hadoop.io.bigquery,BigQueryStrings,3,114,0,8,1,18,1,7,1,3
coverage/bigquery-connector,com.google.cloud.hadoop.io.bigquery,BigQueryConfiguration,10,251,6,16,1,61,6,12,0,7
coverage/bigquery-connector,com.google.cloud.hadoop.io.bigquery,UnshardedExportToCloudStorage.new Progressable() {...},1,6,0,0,1,1,1,1,1,1
